"","X","PrizeID","Alias","Prize.Name","Inst","Year","Genre","person_id","person_role","last_name","first_name","name","gender","sexuality","uk_residence","ethnicity_macro","ethnicity","highest_degree","degree_institution","degree_field_category","degree_field","viaf","book_id","book_title"
"1",1,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",294,"shortlisted","Amis","Martin","Amis, Martin","man","unknown",TRUE,"White British","English","Bachelors","University of Oxford","Language and Literature","English Literature","36913662",5,"Time's Arrow"
"2",2,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",1991,"fiction",33,"winner","Boyd","William","Boyd, William","man","unknown",TRUE,"White British","British","Unknown","University of Oxford","Language and Literature","English Literature","111500719",36,"Brazzaville Beach"
"3",3,3,"Costa First Novel Award","Whitbread First Novel","Whitbread",1991,"fiction",167,"winner","Burn","Gordon","Burn, Gordon","man","unknown",TRUE,"White British","English","None","none","None","None","51988764",42,"Alma Cogan"
"4",4,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",286,"shortlisted","Doyle","Roddy","Doyle, Roddy","man","unknown",FALSE,"Irish","Irish","Bachelors","University College Dublin","Multiple","English and Geography","17301306",77,"The Van"
"5",5,4,"Costa Novel Award","Whitbread Novel","Whitbread",1991,"fiction",168,"winner","Gardam","Jane","Gardam, Jane","woman","unknown",TRUE,"White British","English","Bachelors","University of London","Language and Literature","English Literature","70213168",114,"The Queen of the Tambourine"
"6",6,7,"Costa Children's Book Award","Whitbread Children's Novel","Whitbread",1991,"children's",170,"winner","Hendry","Diana","Hendry, Diana","woman","unknown",TRUE,"White British","English","Unknown","University of Bristol","Unknown","Unknown","117170358",138,"Harvey Angell"
"7",7,6,"Costa Poetry Award","Whitbread Poetry","Whitbread",1991,"poetry",169,"winner","Longley","Michael","Longley, Michael","man","unknown",TRUE,"White British","Northern Irish","Bachelors","Trinity College, Dublin","Language and Literature","Classics","39398205",182,"Gorse Fires"
"8",8,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",260,"shortlisted","Mistry","Rohinton","Mistry, Rohinton","man","unknown",FALSE,"Asian","Indian Canadian","Bachelors","Bombay University/University of Toronto","Multiple","Mathematics and Economics/English and Philosophy","29581388",225,"Such a Long Journey"
"9",9,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",23,"shortlisted","Mo","Timothy","Mo, Timothy","man","unknown",TRUE,"Asian","Cantonese British","Bachelors","University of Oxford","Unknown","Unknown","76339491",229,"The Redundancy of Courage"
"10",10,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",293,"winner","Okri","Ben","Okri, Ben","man","unknown",FALSE,"African","Nigerian British","Bachelors","Queen's University","Unknown","Unknown","76380613",251,"The Famished Road"
"11",11,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1991,"no/any/multi genre",166,"winner","Richardson","John","Richardson, John","man","queer",TRUE,"White British","British","Unknown","Slade School of Art","Unknown","Unknown","109464483",270,"A Life of Picasso I: The Prodigy"
"12",12,5,"Costa Biography Award","Whitbread Biography","Whitbread",1991,"biography",166,"winner","Richardson","John","Richardson, John","man","queer",TRUE,"White British","British","Unknown","Slade School of Art","Unknown","Unknown","109464483",270,"A Life of Picasso I: The Prodigy"
"13",13,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1991,"sff",512,"winner","Simmons","Dan","Simmons, Dan","man","unknown",FALSE,"Non-UK White","White American","Masters","Washington University","Education","Education","107011235",659,"The Fall of Hyperion"
"14",14,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",153,"shortlisted","Trevor","William","Trevor, William","man","unknown",TRUE,"Irish","Irish","Bachelors","Trinity College, Dublin","History and Cultural Studies","History","101362985",339,"Reading Turgenev"
"15",15,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1991,"crime",490,"winner","Vine","Barbara","Vine, Barbara","woman","unknown",TRUE,"White British","British","None","none","None","None","98146313",626,"King Solomon's Carpet"
"16",16,7,"Costa Children's Book Award","Whitbread Children's Novel","Whitbread",1992,"children's",165,"winner","Cross","Gillian","Cross, Gillian","woman","unknown",TRUE,"White British","British","Doctorate","University of Sussex","Unknown","Unknown","13038315",63,"The Great Elephant Chase"
"17",17,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1992,"crime",489,"winner","Dexter","Colin","Dexter, Colin","man","queer",TRUE,"White British","English","Bachelors","University of Cambridge","Language and Literature","Classics","35243485",625,"The Way Through the Woods"
"18",18,5,"Costa Biography Award","Whitbread Biography","Whitbread",1992,"biography",163,"winner","Glendinning","Victoria","Glendinning, Victoria","woman","unknown",TRUE,"White British","British","Bachelors","University of Oxford","Language and Literature","Modern Languages","4943929",119,"Trollope"
"19",19,4,"Costa Novel Award","Whitbread Novel","Whitbread",1992,"fiction",162,"winner","Gray","Alasdair","Gray, Alasdair","man","unknown",TRUE,"White British","Scottish","Unknown","Glasgow Scool of Art","Arts","Design and Mural Painting","114328115",121,"Poor Things"
"20",20,6,"Costa Poetry Award","Whitbread Poetry","Whitbread",1992,"poetry",164,"winner","Harrison","Tony","Harrison, Tony","man","unknown",TRUE,"White British","English","Postgraduate","unknown","Unknown","Unknown","109297940",132,"The Gaze of the Gorgon"
"21",21,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",291,"shortlisted","Hope","Christopher","Hope, Christopher","man","unknown",TRUE,"Non-UK White","White South African","Unknown","University of the Witwatersrand","Unknown","Unknown","108733442",145,"Serenity House"
"22",22,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",270,"shortlisted","McCabe","Patrick","McCabe, Patrick","man","unknown",FALSE,"Irish","Irish","Unknown","St Patrick's Training College","Unknown","Unknown","113858716",202,"The Butcher Boy"
"23",23,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",17,"shortlisted","McEwan","Ian","McEwan, Ian","man","unknown",TRUE,"White British","English","Masters","University of East Anglia","Writing","Creative Writing","109587997",210,"Black Dogs"
"24",24,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",290,"winner","Ondaatje","Michael","Ondaatje, Michael","man","unknown",FALSE,"Asian","Dutch Sri Lankan Canadian","Masters","McGill University","Language and Literature","English Literature","111941870",252,"The English Patient"
"25",25,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",292,"shortlisted","Roberts","Michèle","Roberts, Michèle","woman","unknown",TRUE,"White British","French British","Bachelors","University of Oxford","Language and Literature","English Literature","61642536",274,"Daughters of the House"
"26",26,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1992,"sff",511,"winner","Robinson","Kim Stanley","Robinson, Kim Stanley","man","unknown",FALSE,"Non-UK White","White American","Doctorate","University of California, San Diego","Language and Literature","Science Fiction","44318934",658,"Red Mars"
"27",27,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",1992,"fiction",32,"winner","Sinclair","Iain","Sinclair, Iain","man","unknown",TRUE,"White British","Welsh","Bachelors","University of Cambridge","Language and Literature","English Literature","37065843",298,"Downriver"
"28",28,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1992,"no/any/multi genre",161,"winner","Torrington","Jeff","Torrington, Jeff","man","unknown",TRUE,"White British","Scottish","None","none","None","None","79396668",335,"Swing Hammer Swing!"
"29",29,3,"Costa First Novel Award","Whitbread First Novel","Whitbread",1992,"fiction",161,"winner","Torrington","Jeff","Torrington, Jeff","man","unknown",TRUE,"White British","Scottish","None","none","None","None","79396668",335,"Swing Hammer Swing!"
"30",30,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",280,"winner","Unsworth","Barry","Unsworth, Barry","man","unknown",TRUE,"White British","English","Bachelors","University of Manchester","Language and Literature","English Literature","54168450",344,"Sacred Hunger"
"31",31,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1993,"no/any/multi genre",158,"winner","Brady","Joan","Brady, Joan","woman","unknown",TRUE,"Non-UK White","White American","Bachelors","Columbia University","Philosophy and Theology","Philosophy","24930291",38,"Theory of War"
"32",32,4,"Costa Novel Award","Whitbread Novel","Whitbread",1993,"fiction",158,"winner","Brady","Joan","Brady, Joan","woman","unknown",TRUE,"Non-UK White","White American","Bachelors","Columbia University","Philosophy and Theology","Philosophy","24930291",38,"Theory of War"
"33",33,14,"TS Eliot Prize","TS Eliot Prize","TS Eliot Foundation",1993,"poetry",542,"winner","Carson","Ciaran","Carson, Ciaran","man","unknown",TRUE,"White British","Northern Irish","Bachelors","Queen's University","Language and Literature","English","85621766",695,"First Language: Poems"
"34",34,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1993,"crime",488,"winner","Cornwell","Patricia","Cornwell, Patricia","woman","queer",FALSE,"Non-UK White","White American","Bachelors","Davidson College","Language and Literature","English","36976332",624,"Cruel and Unusual"
"35",35,3,"Costa First Novel Award","Whitbread First Novel","Whitbread",1993,"fiction",159,"winner","Cusk","Rachel","Cusk, Rachel","woman","unknown",TRUE,"White British","British","Bachelors","University of Oxford","Language and Literature","English Literature","318745",64,"Saving Agnes"
"36",36,8,"Booker Prize","Booker Prize","Booker Foundation",1993,"fiction",286,"winner","Doyle","Roddy","Doyle, Roddy","man","unknown",FALSE,"Irish","Irish","Bachelors","University College Dublin","Multiple","English and Geography","17301306",76,"Paddy Clarke Ha Ha Ha"
"37",37,6,"Costa Poetry Award","Whitbread Poetry","Whitbread",1993,"poetry",85,"winner","Duffy","Carol Ann","Duffy, Carol Ann","woman","queer",TRUE,"White British","Scottish","Bachelors","University of Liverpool","Philosophy and Theology","Philosophy","114321106",78,"Mean Time"
"38",38,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1993,"sff",510,"winner","Evans","Christopher","Evans, Christopher","man","unknown",TRUE,"White British","Welsh","Masters","Swansea University","Unknown","Unknown","27290860",657,"Aztec Century"
"39",39,7,"Costa Children's Book Award","Whitbread Children's Novel","Whitbread",1993,"children's",146,"winner","Fine","Anne","Fine, Anne","woman","unknown",TRUE,"White British","British","Unknown","unknown","Politics and Economics","Politics and History","17258209",96,"Flour Babies"
"40",40,8,"Booker Prize","Booker Prize","Booker Foundation",1993,"fiction",287,"shortlisted","Fischer","Tibor","Fischer, Tibor","man","unknown",TRUE,"Non-UK White","Hungarian British","Bachelors","University of Cambridge","Language and Literature","Latin and French","66560509",98,"Under the Frog"
